Sample_ID,I_Ca_umol_per_mol,Mg_Ca_mmol_per_mol,delta13C,delta18O,Age_Ma,Reference,DOI
21-YZ1-29,0.02,0.9,-0.31,-5.12,1548.273717,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-1,0.02,0.91,-0.65,-4.97,1548.584759,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-2,0,0.91,-1,-5.91,1548.615863,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-3,0.01,0.95,-0.08,-4.02,1548.802488,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-4,0.02,0.97,0.14,-4,1549.051322,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-5,0,0.97,0.04,-4.29,1549.548989,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-6,0.02,0.97,0.42,-4.07,1550.046656,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-7,0,0.97,0.25,-4.07,1550.544323,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-8,0.01,0.97,0.45,-4.07,1551.041991,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-9,0,2.58,0.51,-4.89,1551.539658,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-10,0.02,0.98,0.21,-4.66,1552.037325,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-11,0.01,0.98,-0.38,-4.3,1552.534992,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-12,0.03,0.98,-0.06,-4.26,1553.032659,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-13,0.01,0.99,0.27,-3.63,1553.530327,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-14,0.02,0.98,0.06,-4.3,1554.027994,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-15,0.06,0.97,-0.01,-4.24,1554.525661,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-16,0,0.92,0.42,-4.41,1555.023328,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-17,0,0.95,0.08,-6.11,1555.520995,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-18,0,0.21,-0.08,-6.4,1556.018663,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-19,0.02,0.21,-0.29,-6.81,1556.51633,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-20,0,0.85,0.3,-5.01,1557.013997,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-21,0.03,0.35,-0.13,-6.33,1557.511664,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-22,0,0.76,0.21,-5.6,1558.009331,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-23,0.01,0.44,0,-5.89,1558.506998,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-24,0.04,0.22,-0.57,-6.02,1559.004666,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-25,0.03,0.13,-0.3,-6.37,1559.502333,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
23-GYZ4-26,0.39,0.32,0.49,-3.7,1560,"Duan et al., 2025",https://doi.org/10.1016/j.precamres.2025.107709
1507JX-1-1,0.11,1.27,-0.17,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-2-4,0.72,0.18,-3.82,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-2-5,1.69,0.17,-3.82,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-2-6,2.42,2.56,,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-3-4,0.9,0.02,-4.66,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-4-1,0.66,1.92,-2.84,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-4-4,0.15,1.55,-2.99,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-4-5,0.15,1.7,-1.86,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-4-7,0.09,1.69,-1.56,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-4-9,0.3,1.64,-1.14,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-5-3,0.11,1.58,0.05,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-5-7,0.08,1.37,,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-6-3,0.07,1.13,-0.02,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1507JX-6-5,0.06,1.07,,,1585,"Fang et al., 2020",https://doi.org/10.1016/j.palaeo.2020.109966
1809JX-01-H,0.67,0.05,–0.7,–5.4,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-01-W,1.84,0.32,–1.0,–6.3,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-2(2)-H,0.68,0.04,–0.5,–5.9,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-2(1)-W,1.23,0.1,–0.6,–5.6,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-3-H,0.4,0.02,–0.5,–5.9,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-3-W,0.79,0.13,–0.6,–5.4,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-05-H,0.45,0.03,–0.4,−5.8,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-05-W,2.43,0.7,–0.4,–4.0,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-6-H,0.42,0.03,–0.1,–5.5,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-6-W,0.94,0.27,−0.3,−5.2,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-7-H,0.5,0.07,–0.4,–5.7,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-7-W,0.66,0.14,–0.7,–5.4,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-08-H,1.08,0.15,–0.5,–5.2,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-08-W,1.3,0.26,–0.8,–5.3,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-09-H,0.64,0.04,–0.3,–5.6,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-09-W,1.21,0.26,–0.7,–5.2,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-10-H,0.83,0.14,–0.7,–5.3,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-10-W,1.55,0.28,–0.7,–5.2,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-11-H,0.52,0.03,–0.7,–5.7,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-11-W,0.86,0.17,–0.6,–4.7,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-598.4 M−H,0.47,0.05,–0.8,–6.4,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-598.4 M−W,1.18,0.46,–0.5,–5.6,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-603.5 M−H,0.72,0.07,–0.7,–6.4,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1809JX-603.5 M−W,1.84,0.54,–0.6,–4.7,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-4-A,0.08,0.02,–0.6,–7.8,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-6-A,0.23,0.03,–0.9,–7.8,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-7-A,0.45,0.39,–0.4,–7.5,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-18-W,0.16,0.15,–1.2,–7.9,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-18–1-A,0.24,0.01,–0.8,–7.5,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-23-A,0.03,0.01,–0.6,–7.9,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-23-W,0.02,0.84,0.5,–7.2,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-24-A,0.12,0.02,0.2,–7.0,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-24-W,0.18,0.88,–0.7,–8.3,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-29-A,0.11,0.91,–0.4,–7.4,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
1407JX-29-W,0.12,0.97,–0.4,–7.6,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-23–1-A,0.13,0.02,–0.8,–7.3,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-24–1-W,0.13,0.3,–0.4,–7.1,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-24–3-A,0.19,0.01,–1.0,–3.9,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-24–3-W,0.18,0.69,0.2,–6.9,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-24–5-W,0.08,0.12,–0.7,–7.8,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-24–7-A,0.12,0.01,–0.6,–8.0,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-24–7-W,0.16,0.9,0.4,–7.0,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
11JX-24–9-W,0.09,0,–0.5,–6.7,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
XB1805-3-A,0.03,0.03,–1.0,–8.2,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
XB1805-4-A,0.09,0.01,–0.7,–7.6,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
XB1805-7-A,0.06,0.01,–0.8,–9.6,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
XB1805-7-W,0.05,0.03,–0.7,–8.3,1550,"Fang et al., 2022",https://doi.org/10.1016/j.precamres.2022.106630
BD2X,0.04,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BH3X,0,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BH6X,0,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BK1X,0,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BK5X,0,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BP1X,0,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BQ1Y,0.22,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BQ2Y,0.09,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BQ3X,0,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
BQ6X,0,,,,2310,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8月20日,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8月21日,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8月24日,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8月26日,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8月28日,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8月31日,0.05,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8-33,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8-43B,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
8-44B,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
SR-16A,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
SR-16B,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
SR-18A,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
SR-18B,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
SR-18C,0,,,,2800,"Fang et al., 2024",https://doi.org/10.1016/j.precamres.2024.107350
